NN1,NN2,FULL,StreetAddress,City,State,ZipCode,Country,Tel,InRefTo,Notes,Rate1
TZWhinham,WhinhamTZ,0002 - Tyler Z. Whinham,3070 Gorby Lane,Hattiesburg,MS,39402-2,US,601-241-5375,2-TZW,Tyler Z. Whinham,2
NFFredricksen,FredricksenNF,0003 - Natalie F. Fredricksen,1220 Simpson Avenue,Myerstown,PA,17067-3,US,717-866-0599,3-NFF,Natalie F. Fredricksen,3
DJLangdon,LangdonDJ,0004 - Declan J. Langdon,2762 University Drive,Chicago,IL,60601-4,US,312-729-0613,4-DJL,Declan J. Langdon,4
MASargent,SargentMA,0005 - Matilda A. Sargent,3617 Newton Street,Ogilvie,MN,56358-5,US,320-272-4462,5-MAS,Matilda A. Sargent,5
SHBoxall,BoxallSH,0006 - Sofia H. Boxall,3665 Saint Clair Street,Jackson,MS,39201-6,US,662-543-8481,6-SHB,Sofia H. Boxall,6
BEWalker,WalkerBE,0007 - Boyd E. Walker,2089 Barfield Lane,Carmel,IN,46032-7,US,317-571-0409,7-BEW,Boyd E. Walker,7
AKDouglas,DouglasAK,0008 - Archie K. Douglas,4396 Bombardier Way,Ann Arbor,MI,48104-8,US,734-997-9414,8-AKD,Archie K. Douglas,8
RAHyam,HyamRA,0009 - Rory A. Hyam,17 Hidden Valley Road,Chambersburg,PA,17201-9,US,717-261-3178,9-RAH,Rory A. Hyam,9
ELSmith,SmithEL,0010 - Erin L. Smith,719 Glory Road,Manchester,TN,37355-10,US,931-728-9490,10-ELS,Erin L. Smith,10
IAMilne,MilneIA,0011 - Izaak A. Milne,3461 Chapmans Lane,Chaparral,NM,88004-11,US,505-824-7134,11-IAM,Izaak A. Milne,11
SLLeake,LeakeSL,0012 - Sarah L. Leake,2792 Coburn Hollow Road,Princeville,IL,61559-12,US,309-385-6753,12-SLL,Sarah L. Leake,12
CCGreenman,GreenmanCC,0013 - Charles C. Greenman,4529 Felosa Drive,Los Angeles,CA,90063-13,US,323-980-9502,13-CCG,Charles C. Greenman,13
WVReich,ReichWV,0014 - William V. Reich,3190 Parrill Court,Whiting,IN,46394-14,US,219-473-2799,14-WVR,William V. Reich,14
AAGump,GumpAA,0015 - Angus A. Gump,1006 Chipmunk Lane,Warren,ME,04864-15,US,207-273-6538,15-AAA,Angus A. Gump,15
APWere,WereAP,0016 - Aaron P. Were,320 Edwards Street,Rocky Mount,NC,27801-16,US,252-724-4390,16-APW,Aaron P. Were,16
JCDe Burgh,De BurghJC,0017 - Jorja C. De Burgh,4957 Reel Avenue,Las Cruces,NM,88001-17,US,505-373-3676,17-JCD,Jorja C. De Burgh,17
MEBruce,BruceME,0018 - Madeline E. Bruce,4480 Sugarfoot Lane,Indianapolis,IN,46225-18,US,765-416-1970,18-MEB,Madeline E. Bruce,18
BBWeeks,WeeksBB,0019 - Bruce B. Weeks,4316 Oakwood Avenue,New York,NY,10021-19,US,212-606-3764,19-BBW,Bruce B. Weeks,19
CSHamilton,HamiltonCS,0020 - Calum S. Hamilton,3161 Bingamon Branch Road,Wheeling,IL,60090-20,US,847-215-3177,20-CSH,Calum S. Hamilton,20
LJHenry,HenryLJ,0021 - Linda J. Henry,64 Comfort Court,Madison,WI,53703-21,US,608-316-9259,21-LJH,Linda J. Henry,21
